image_name,cell_nos,label
image_1,5 13 14,1
image_1,44 52 60 61,3
image_2,10 11 18 26 34,1
image_2,39 40 47 48 55 56 63 64,3
image_3,7 15 23 31 39 47 55,1
image_4,5 13 22,1
image_4,44 52 60,3
image_5,5 6 12 13 14,1
image_6,5 13 14,1
image_6,44 52 60 61,3
image_7,11,2
image_7,14 14 16 22 23,1
image_8,3,1
image_8,48 56 64,3
image_9,21 29,1
image_9,7,2
image_9,43 51 59,3
image_10,11 12 13,1
image_10,45 53 61,3
image_11,3 4 12 13 21 29 30 ,1
image_12,10 11 18 19 26 27 35 43 51
image_13,5 13,1
image_13,43 44 51 52 59 60,3
image_14,14 22 30 38,1
image_14,27,2
image_14,33 34 41 42 49 50 57 58,3
image_15,10 11 17 18 25 26,1
image_15,34 42 50 58,3
image_16,5 13 21,1
image_16,34 42 50 58,3
image_17,6,13,14,1
image_17,36 44 52 60,3
image_18,5 6 12 13,1
image_18,41 42 49 50 57 58,3
image_19,6 14 22,1
image_19,43 51 59,3
image_20,3 4 11 12 19 20 27,1
image_20,39 40 47 48 55 56 63 64,3
image_21,4 5 13 14,1
image_21,34 35 42 43 50 51 58 59,3
image_22,13 21 29,1
image_22,37 45 53 61,3
image_23,3 4 11,1
image_23,45 53 61,3
image_24,6 14 22,1
image_24,35 43 51 59,3
image_25,7 14 15 22,1
image_25,38 46 54 62,3
image_26,45 53 61,1
image_26,35 43,2
image_26,44 45 52 53 60 61,3
image_27,21 29 36 44,1
image_27,63,2
image_28,35 36 37 43,1
image_28,34 42 50 58,3
image_29,42 43 51 52,1
image_29,5,2
image_30,3 4 11 12,1
image_30,33 34 41 42 49 50 57 58,3
image_31,3 4 11 12 19 27,1
image_31, 39 47 55 63,3 
image_32,4 12 20,1
image_32,34 35 42 43 50 51 58 59,3  
image_33,5 13 20 21 28,1
image_33,40 48 56,3
image_34,29 35 36 42 43 44 50,1
image_34,42,2
image_34,37 38 45 46 53 54 61 62,3
image_35,11 12 20 30,1
image_35,41 42 49 50 57 58,3
image_36,5 6 12 13 14 20 21 27 28,1
image_36,8 16,2
image_37,35 36 37,1
image_37,34 42 50 58,3
image_38,25 26 33 34 35,1
image_38,39 40 47 48 55 56 63 64,3
image_39,3 11 19 27 35,1
image_39,33 41 49 57,3
image_40,9 18 19 27 28,1
image_40,24,2
image_41,6 7 13 14 21,1
image_41,35 43 51 59,3
image_42,38 39 46 47,1
image_42,47,2
image_42,25 26 33 34 41 42 49 50 57 58,3
image_43,5 13 14,1
image_43,44 52 60 61,3
image_44,4 5 13 14 22,1
image_44,35 36 43 44 51 52 59 60,3
image_45,4 5 13 14,1
image_45,34 35 42 43 50 51 58 59,3
image_46,6 14 22,1
image_46,35 43 51 59,3
image_47,5 12 6,1
image_47,34 42 50 58,3
image_48,6 14 22,1
image_48,37 45 53,3
image_49,12,1
image_49,46 54 62,3
image_50,21 22 30,1
image_50,46 54 62,3
