image_name,row,col,tile_number,label
image_200.jpeg,1,1,1,0
image_200.jpeg,1,2,2,2
image_200.jpeg,1,3,3,0
image_200.jpeg,1,4,4,0
image_200.jpeg,1,5,5,0
image_200.jpeg,1,6,6,0
image_200.jpeg,1,7,7,0
image_200.jpeg,1,8,8,0
image_200.jpeg,2,1,9,0
image_200.jpeg,2,2,10,2
image_200.jpeg,2,3,11,0
image_200.jpeg,2,4,12,0
image_200.jpeg,2,5,13,0
image_200.jpeg,2,6,14,0
image_200.jpeg,2,7,15,0
image_200.jpeg,2,8,16,0
image_200.jpeg,3,1,17,0
image_200.jpeg,3,2,18,2
image_200.jpeg,3,3,19,2
image_200.jpeg,3,4,20,0
image_200.jpeg,3,5,21,0
image_200.jpeg,3,6,22,0
image_200.jpeg,3,7,23,0
image_200.jpeg,3,8,24,0
image_200.jpeg,4,1,25,0
image_200.jpeg,4,2,26,2
image_200.jpeg,4,3,27,2
image_200.jpeg,4,4,28,0
image_200.jpeg,4,5,29,0
image_200.jpeg,4,6,30,0
image_200.jpeg,4,7,31,0
image_200.jpeg,4,8,32,0
image_200.jpeg,5,1,33,0
image_200.jpeg,5,2,34,0
image_200.jpeg,5,3,35,0
image_200.jpeg,5,4,36,0
image_200.jpeg,5,5,37,0
image_200.jpeg,5,6,38,0
image_200.jpeg,5,7,39,0
image_200.jpeg,5,8,40,0
image_200.jpeg,6,1,41,0
image_200.jpeg,6,2,42,0
image_200.jpeg,6,3,43,0
image_200.jpeg,6,4,44,0
image_200.jpeg,6,5,45,0
image_200.jpeg,6,6,46,0
image_200.jpeg,6,7,47,0
image_200.jpeg,6,8,48,0
image_200.jpeg,7,1,49,0
image_200.jpeg,7,2,50,0
image_200.jpeg,7,3,51,0
image_200.jpeg,7,4,52,0
image_200.jpeg,7,5,53,0
image_200.jpeg,7,6,54,0
image_200.jpeg,7,7,55,0
image_200.jpeg,7,8,56,0
image_200.jpeg,8,1,57,0
image_200.jpeg,8,2,58,0
image_200.jpeg,8,3,59,0
image_200.jpeg,8,4,60,0
image_200.jpeg,8,5,61,0
image_200.jpeg,8,6,62,0
image_200.jpeg,8,7,63,0
image_200.jpeg,8,8,64,0
image_201.jpg,1,1,1,0
image_201.jpg,1,2,2,0
image_201.jpg,1,3,3,0
image_201.jpg,1,4,4,0
image_201.jpg,1,5,5,0
image_201.jpg,1,6,6,2
image_201.jpg,1,7,7,0
image_201.jpg,1,8,8,0
image_201.jpg,2,1,9,0
image_201.jpg,2,2,10,0
image_201.jpg,2,3,11,0
image_201.jpg,2,4,12,0
image_201.jpg,2,5,13,0
image_201.jpg,2,6,14,2
image_201.jpg,2,7,15,0
image_201.jpg,2,8,16,0
image_201.jpg,3,1,17,0
image_201.jpg,3,2,18,0
image_201.jpg,3,3,19,0
image_201.jpg,3,4,20,0
image_201.jpg,3,5,21,0
image_201.jpg,3,6,22,2
image_201.jpg,3,7,23,1
image_201.jpg,3,8,24,0
image_201.jpg,4,1,25,0
image_201.jpg,4,2,26,0
image_201.jpg,4,3,27,0
image_201.jpg,4,4,28,0
image_201.jpg,4,5,29,0
image_201.jpg,4,6,30,0
image_201.jpg,4,7,31,0
image_201.jpg,4,8,32,0
image_201.jpg,5,1,33,0
image_201.jpg,5,2,34,0
image_201.jpg,5,3,35,0
image_201.jpg,5,4,36,0
image_201.jpg,5,5,37,0
image_201.jpg,5,6,38,0
image_201.jpg,5,7,39,0
image_201.jpg,5,8,40,0
image_201.jpg,6,1,41,0
image_201.jpg,6,2,42,0
image_201.jpg,6,3,43,3
image_201.jpg,6,4,44,3
image_201.jpg,6,5,45,0
image_201.jpg,6,6,46,0
image_201.jpg,6,7,47,0
image_201.jpg,6,8,48,0
image_201.jpg,7,1,49,0
image_201.jpg,7,2,50,0
image_201.jpg,7,3,51,3
image_201.jpg,7,4,52,3
image_201.jpg,7,5,53,0
image_201.jpg,7,6,54,0
image_201.jpg,7,7,55,0
image_201.jpg,7,8,56,0
image_201.jpg,8,1,57,0
image_201.jpg,8,2,58,0
image_201.jpg,8,3,59,3
image_201.jpg,8,4,60,3
image_201.jpg,8,5,61,0
image_201.jpg,8,6,62,0
image_201.jpg,8,7,63,0
image_201.jpg,8,8,64,0
image_202.jpg,1,1,1,0
image_202.jpg,1,2,2,0
image_202.jpg,1,3,3,0
image_202.jpg,1,4,4,0
image_202.jpg,1,5,5,0
image_202.jpg,1,6,6,0
image_202.jpg,1,7,7,0
image_202.jpg,1,8,8,0
image_202.jpg,2,1,9,0
image_202.jpg,2,2,10,0
image_202.jpg,2,3,11,0
image_202.jpg,2,4,12,0
image_202.jpg,2,5,13,0
image_202.jpg,2,6,14,0
image_202.jpg,2,7,15,0
image_202.jpg,2,8,16,0
image_202.jpg,3,1,17,0
image_202.jpg,3,2,18,0
image_202.jpg,3,3,19,0
image_202.jpg,3,4,20,0
image_202.jpg,3,5,21,2
image_202.jpg,3,6,22,0
image_202.jpg,3,7,23,0
image_202.jpg,3,8,24,0
image_202.jpg,4,1,25,0
image_202.jpg,4,2,26,0
image_202.jpg,4,3,27,0
image_202.jpg,4,4,28,3
image_202.jpg,4,5,29,1
image_202.jpg,4,6,30,0
image_202.jpg,4,7,31,0
image_202.jpg,4,8,32,0
image_202.jpg,5,1,33,0
image_202.jpg,5,2,34,0
image_202.jpg,5,3,35,0
image_202.jpg,5,4,36,3
image_202.jpg,5,5,37,0
image_202.jpg,5,6,38,0
image_202.jpg,5,7,39,0
image_202.jpg,5,8,40,0
image_202.jpg,6,1,41,0
image_202.jpg,6,2,42,0
image_202.jpg,6,3,43,0
image_202.jpg,6,4,44,3
image_202.jpg,6,5,45,0
image_202.jpg,6,6,46,0
image_202.jpg,6,7,47,0
