image_name,tile_number,label
image_101.jpg,54,1
image_101.jpg,20,2
image_101.jpg,21,2
image_101.jpg,22,2
image_101.jpg,28,2
image_101.jpg,29,2
image_101.jpg,32,3
image_101.jpg,40,3
image_101.jpg,48,3
image_101.jpg,56,3
image_101.jpg,64,3
image_102.jpg,13,2
image_102.jpg,20,2
image_102.jpg,21,2
image_102.jpg,28,2
image_102.jpg,29,2
image_102.jpg,33,3
image_102.jpg,41,3
image_102.jpg,49,3
image_102.jpg,57,3
image_103.jpg,29,2
image_103.jpg,37,2
image_103.jpg,45,2
image_103.jpg,34,3
image_103.jpg,42,3
image_103.jpg,50,3
image_103.jpg,33,3
image_103.jpg,41,3
image_103.jpg,49,3
image_109.jpg,37,2
image_109.jpg,38,2
image_109.jpg,42,2
image_109.jpg,45,2
image_109.jpg,46,2
image_109.jpg,42,2
image_109.jpg,43,2
image_109.jpg,45,2
image_109.jpg,46,2
image_109.jpg,50,2
image_109.jpg,51,2
image_109.jpg,53,2
image_109.jpg,54,2
image_109.jpg,58,2
image_109.jpg,62,2
image_110.jpg,34,3
image_110.jpg,42,3
image_110.jpg,50,3
image_110.jpg,58,3
image_115.jpg,30,1
image_115.jpg,6,2
image_115.jpg,7,2
image_115.jpg,12,2
image_115.jpg,13,2
image_115.jpg,14,2
image_115.jpg,20,2
image_115.jpg,21,2
image_115.jpg,22,2
image_115.jpg,45,3
image_115.jpg,46,3
image_115.jpg,53,3
image_115.jpg,54,3
image_115.jpg,61,3
image_115.jpg,62,3
image_116.jpg,9,2
image_116.jpg,10,2
image_116.jpg,17,2
image_116.jpg,18,2
image_116.jpg,25,2
image_119.jpg,33,1
image_119.jpg,41,1
image_119.jpg,23,2
image_119.jpg,31,2
image_119.jpg,39,2
image_119.jpg,47,2
image_119.jpg,48,2
image_119.jpg,34,3
image_119.jpg,42,3
image_119.jpg,50,3
image_119.jpg,58,3
image_120.jpg,31,3
image_120.jpg,47,3
image_120.jpg,55,3
image_120.jpg,63,3
image_120.jpg,38,3
image_120.jpg,46,3
image_120.jpg,54,3
image_120.jpg,62,3
image_121.jpg,23,1
image_121.jpg,31,1
image_121.jpg,19,2
image_121.jpg,20,2
image_121.jpg,21,2
image_121.jpg,30,2
image_121.jpg,22,2
image_122.jpg,5,2
image_122.jpg,6,2
image_122.jpg,13,2
image_122.jpg,14,2
image_122.jpg,21,2
image_122.jpg,22,2
image_122.jpg,29,2
image_122.jpg,30,2
image_123.jpg,51,3
image_123.jpg,59,3
image_127.jpg,2,2
image_127.jpg,3,2
image_127.jpg,10,2
image_127.jpg,11,2
image_127.jpg,18,2
image_127.jpg,19,2
image_127.jpg,26,2
image_127.jpg,27,2
image_127.jpg,34,2
image_128.jpg,2,2
image_128.jpg,3,2
image_128.jpg,10,2
image_128.jpg,11,2
image_128.jpg,18,2
image_128.jpg,19,2
image_129.jpg,3,2
image_129.jpg,4,2
image_129.jpg,10,2
image_129.jpg,11,2
image_129.jpg,18,2
image_129.jpg,19,2
image_129.jpg,26,2
image_136.jpg,14,2
image_136.jpg,22,2
image_136.jpg,29,2
image_136.jpg,30,2
image_136.jpg,37,2
image_136.jpg,38,2
image_142.jpg,47,3
image_142.jpg,55,3
image_142.jpg,62,3
image_142.jpg,63,3
image_143.jpg,10,2
image_143.jpg,18,2
image_143.jpg,26,2
image_130.jpg,53,3
image_130.jpg,54,3
image_130.jpg,61,3
image_130.jpg,62,3
image_132.jpg,56,1
image_148.jpg,3,2
image_148.jpg,4,2
image_148.jpg,5,2
image_148.jpg,11,2
image_148.jpg,12,2
image_148.jpg,13,2
image_151.jpg,10,2
image_151.jpg,11,2
image_151.jpg,18,2
image_151.jpg,19,2
image_151.jpg,26,2
image_151.jpg,27,2
image_151.jpg,40,3
image_151.jpg,48,3
image_151.jpg,56,3
image_151.jpg,64,3
image_153.jpg,2,2
image_153.jpg,3,2
image_153.jpg,10,2
image_153.jpg,11,2
image_153.jpg,18,2
image_153.jpg,19,2
image_153.jpg,26,2
image_153.jpg,27,2
image_155.jpg,5,2
image_155.jpg,6,2
image_155.jpg,13,2
image_155.jpg,14,2
image_155.jpg,21,2
image_155.jpg,22,2
image_157.jpg,15,2
image_157.jpg,16,2
image_157.jpg,23,2
image_157.jpg,24,2
image_157.jpg,31,2
image_157.jpg,32,2
image_157.jpg,34,3
image_157.jpg,42,3
image_157.jpg,50,3
image_157.jpg,57,3
image_157.jpg,58,3
image_160.jpg,21,2
image_160.jpg,22,2
image_160.jpg,29,2
image_160.jpg,30,2
image_158.jpg,5,2
image_158.jpg,11,2
image_158.jpg,13,2
image_158.jpg,19,2
image_158.jpg,21,2
image_158.jpg,27,2
image_158.jpg,29,2
image_159.jpg,41,3
image_159.jpg,42,3
image_159.jpg,49,3
image_159.jpg,50,3
image_159.jpg,57,3
image_159.jpg,58,3
image_167.jpg,7,2
image_167.jpg,8,2
image_167.jpg,14,2
image_167.jpg,15,2
image_167.jpg,36,3
image_167.jpg,44,3
image_167.jpg,52,3
image_167.jpg,60,3
image_168.jpg,37,3
image_168.jpg,45,3
image_168.jpg,53,3
image_168.jpg,61,3
image_169.jpg,28,2
image_169.jpg,36,2
image_169.jpg,44,2
image_169.jpg,52,2
image_169.jpg,60,2
image_163.jpg,6,1
image_163.jpg,15,2
image_163.jpg,22,2
image_163.jpg,23,2
image_163.jpg,43,3
image_163.jpg,51,3
image_163.jpg,59,3
image_164.jpg,5,2
image_164.jpg,6,2
image_164.jpg,13,2
image_164.jpg,38,3
image_164.jpg,46,3
image_164.jpg,54,3
image_164.jpg,62,3
image_175.jpg,5,1
image_175.jpg,27,3
image_175.jpg,35,3
image_175.jpg,41,2
image_175.jpg,42,2
image_175.jpg,43,2
image_175.jpg,43,3
image_175.jpg,44,2
image_175.jpg,51,3
image_175.jpg,59,3
image_170.jpg,33,2
image_170.jpg,34,2
image_170.jpg,35,2
image_172.jpg,4,2
image_172.jpg,5,2
image_172.jpg,28,2
image_172.jpg,36,2
image_172.jpg,44,2
image_172.jpg,52,2
image_172.jpg,60,2
image_173.jpg,33,3
image_173.jpg,41,3
image_173.jpg,49,3
image_173.jpg,57,3
image_174.jpg,23,2
image_174.jpg,31,2
image_174.jpg,64,1
image_182.jpg,13,2
image_182.jpg,14,2
image_182.jpg,21,2
image_182.jpg,22,2
image_182.jpg,48,3
image_182.jpg,56,3
image_182.jpg,64,3
image_177.jpg,11,2
image_177.jpg,12,2
image_177.jpg,19,2
image_177.jpg,20,2
image_177.jpg,23,1
image_177.jpg,33,3
image_177.jpg,34,3
image_177.jpg,41,3
image_177.jpg,42,3
image_177.jpg,50,3
image_177.jpg,58,3
image_178.jpg,6,2
image_178.jpg,7,2
image_178.jpg,14,2
image_178.jpg,15,2
image_178.jpg,25,1
image_178.jpg,36,3
image_178.jpg,44,3
image_178.jpg,52,3
image_178.jpg,60,3
image_179.jpg,4,2
image_179.jpg,11,2
image_179.jpg,12,2
image_179.jpg,19,2
image_179.jpg,20,2
image_181.jpg,39,2
image_181.jpg,40,2
image_181.jpg,46,2
image_181.jpg,47,2
image_181.jpg,48,2
image_181.jpg,42,3
image_181.jpg,50,3
image_181.jpg,58,3
